country,PMD,HAD,OZD,USD,UWD,PBD,MSW,TBN,TBG,MPA,PAR,SHI,SPI,BHV,TCL,GRL,WTL,CDA,CHA,FGA,NDA,BCA,LCB,GIB,GHP,SDA,NXA,SNM,WWT
Maldives,61.3,40.6,24.4,53.3,44.1,55.4,9.6,2.4,2.4,0.5,10.4,0,3.3,31.4,77,100,100,23.4,55.8,89.6,1.2,0,50.4,25.8,64.7,49.7,3.7,14.1,4.3
Mexico,42.2,39.5,36.4,57.2,49.8,45.7,74.3,80.4,85.2,100,21.2,67.7,51.8,57.1,29.8,68,46.9,59.5,69,100,53.2,81.3,61.9,57.9,39.3,65.5,77.2,38.8,31.6
Marshall Islands,37.6,16.9,100,35.3,30.2,46.6,22.1,5,5,2.4,13,39.4,1.4,52.9,42,100,43.9,35.1,55.9,89.8,48.7,48.5,42.9,9.1,64.5,100,1.1,1.7,0
North Macedonia,18.3,34.5,53.6,65.4,58.1,46.7,72.1,51.4,70.5,71.3,36.6,76.4,93.3,46.5,42,70.5,19.9,81,56.1,95.4,70.6,58.9,67.6,68.5,44.3,100,100,40.9,0.9
Mali,45.6,6.8,28.7,8.3,8.2,32.5,0,39.9,68,71.5,11.4,97,84.6,67.9,19.3,58.1,63.7,20.6,30.4,86.9,25.6,44.2,25.1,36.8,73,52,47.7,43.4,0
Malta,66.6,97.1,42.5,99.5,100,50.6,96.7,100,100,78.1,14.1,76.5,67.9,30.4,100,100,100,52.8,100,85.8,65,20.7,53.4,68.1,35.6,100,61.6,28.3,0
Myanmar,27,12.3,18.3,32.3,29.9,38.2,0,31.4,15.5,3.6,16.7,67.9,69.3,54.8,23.4,55.1,41.2,0,65,86.9,28.4,62.1,12.2,73.2,70.6,51.8,49.6,53.7,0
Montenegro,31.2,34.8,55.2,78.9,56.7,65.2,5.3,46.8,48.4,0.6,45.1,75.8,5.5,48.2,41.2,44.9,100,54.5,90.7,89.8,83.6,100,43.7,37,34.2,88.1,82.4,19.2,8.4
Mongolia,11.2,22.8,42.1,42.3,43.7,33.2,0,77.1,73.9,78.1,23.5,93.9,97.9,67.2,38.6,71.4,68,7.7,0,69.4,14,12,100,33.3,1.1,25.5,44.4,15.4,3.3
Mozambique,64.5,7,47.1,16.3,16.4,23.7,0.7,97.4,98.6,2.2,49,91,80.2,56.9,22.5,45.2,39.3,0,61.6,88,88.6,46.1,43.8,62.1,86.6,74.9,33.3,34.4,0.2
Mauritania,22,19.8,47.7,13.7,13.4,55.8,12.5,3.6,3,0.1,4.6,94.5,1.4,78,100,53.6,90.9,21.5,32.6,88.7,35.7,41.5,0,33.7,58.6,55.1,43.4,39.7,0
Mauritius,37.8,63.3,100,68.5,63.4,66.8,98,27.8,27.8,0,10.9,35.9,3.3,32.7,43.9,100,100,43.2,47.4,88.6,39.9,97.3,34.1,43.5,52.4,50.9,47.5,20,2.5
Malawi,61.2,9.3,43.5,12,12,37.4,0,100,100,74.9,41.1,92.8,89.2,50.7,20.2,37.9,54.5,37.3,14.8,89.6,13.1,46.5,37.5,33.4,100,60.4,45.8,39,0
Malaysia,36.5,70.7,40.1,71.8,48.1,62.1,81.4,100,100,8.6,14.6,0,61.7,57.1,12.7,14.8,43,40.1,63.7,89.3,100,52.7,49,55.8,23.7,43.3,39,63.4,12.4
Namibia,27.2,20.4,26.4,20.8,18.8,44.5,4.2,100,100,16.8,78.9,86.4,94.4,72.7,52.1,65.3,98.1,38.8,100,82.2,100,15.4,94.3,87,42.5,57.1,79.4,11.5,6.2
